City,Country,Map Location,Resort_Name,Resort_Details,image_0,image_1,About,Amenities,Directions,Other Information
British Columbia,Canada,?q=4315+Northlands+Boulevard+WHISTLER+BC+Canada+V0N+1B0&z=16,WorldMark Whistler Cascade Lodge,worldmarkwhistlercascadelodge.html,images/c1.jpg,images/c2.jpg,"The cozy European village of Whistler is base camp for access to the two towering snow-crowned kingsBlackcomb and Whistler mountains. WorldMark's Cascade Lodge nestled snugly in the heart of North America's number-one ski resortis the ideal getaway for warm and cold weather adventurers alike. In winter, catch a high-speed lift and enjoy a breathtaking day of skiing and snowboarding. Or speed across the snowy landscape on a dog sled tour. In summer, hike or mountain bike, golf on world-class courses, or make a splash in a white-water raft. Snow or shine, you can always slide into a cafe for a warm latte or crisp microbrew. Stroll the village's boutiques, then ease into a heated spa to rejuvenate for the next day. Whether you crave rugged extremes or soothing quiet, Cascade Lodge has it all.","Balcony, Cable TV, Fireplace, Microwave, Radio and or CD Player, Telephone, VCR, Washer/Dryer","From Seattle, WA: Take I-5 North to Blaine, WA. Exit at the Truck Customs to cross the border into Canada. You will be on BC 15/176th St. Follow this route through Cloverdale. (Do not take exit 1A!) Cross over the Fraser Hwy until you cross an overpass. Take the exit, for Hwy 1 West to Vancouver. Follow Hwy 1 over the 2nd Narrows Bridge (use the left lanes) until you start to climb the mountains. On your right you will pass a small mall and gas station. You should gas up here, as it is one of the last gas stations you will see until Squamish, more than an hour away. Take the Squamish/Whistler 99 exit. * Whistler is about one hour from here on Hwy 99. You will see a Welcome to Whistler sign as you enter town. At the fifth traffic light, turn right onto Village Gate Blvd. Take the first left on Northlands Blvd. Cascade Lodge is on your left. Remember, check-in is located at the second desk on the right in the main lobby! From Vancouver, BC Airport: Follow the signs to Vancouver and cross the Arthur Laing Bridge. Once over the bridge, take the Granville exit and travel approximately 4 miles to the Granville St Bridge. Shift to the far right lane of the bridge and take the Seymour St exit. Turn left on Georgia St and go over the Lions Gate bridge. Exit the bridge on the Marina Dr W, turnoff and shift into far right lane. Take the first right onto Taylor Way. Travel up hill and turn left onto Hwy 1. Follow the signs and take Exit 2 to Whistler Hwy 99. Follow the directions above * .","Late Arrivals : If you expect to arrive late for check in, please ensure you telephone the resort (on the above number) prior to arriving to make arrangements for the key."
British Columbia,Canada,"maps?q=British+Columbia&hl=en&sll=1.352083,103.819836&sspn=0.708416,0.509491&z=4",Whistler Vacation Club At Lake Placid Lodge,whistlervacationclubatlakeplacidlodge.html,images/c3.jpg,images/c4.jpg,"Number one. Period. Skiers know it. Snowboarders drool over it. But there is so much more to enjoy at Whistler in the summer, too. When the snow melts, a breathtaking network of extensive and clever mountain bike trails emerge. Hiking, golfing, inline skating, tennis, horseback riding and fishing round out the longest list of off-the-couch activities you will find, anywhere. But you won't believe the nightlife and shopping opportunities either. Whistler sustains a unique energetic buzz that's not easy to come by elsewhere. As co-host for the 2010 Olympic and Paralympic Winter Games, everyone is smiling even more than before as they gear up for the show!, , Your luxurious mountain retreat in Whistler allows quick access to your fully outfitted kitchen, and warm fireplace, when you need a break. The heated swimming pool and hot tub will turn that break into a full day of relaxation. At this Home Group spot, life is good!","Dishwasher, Fireplace, Microwave, Telephone",– Start going toward the Airport Exit on Grant McConachie Way – Grant McConachie Way becomes Arthur Laing Bridge – Take ramp onto SW Marine Dr – Continue on Granville St – Bear right on Seymour St – Turn left to follow BC-99 – Take ramp onto Marine Dr – Turn right on Taylor Way – Turn left onto BC-99 – Take ramp onto BC-99 – Turn right on Bayshore Dr – Turn left on Cheakamus Way – Cheakamus Way becomes Brandywine Way,"Late Arrivals : If you expect to arrive late for check in, please ensure you telephone the resort (on the above number) prior to arriving to make arrangements for the key."
British Columbia,Canada,"maps?q=British+Columbia&hl=en&sll=1.352083,103.819836&sspn=0.708416,0.509491&z=4",Whiski Jack at Whistler Creek,whiskijackatwhistlercreek.html,images/c7.jpg,images/c8.jpg,"Located in the charming alpine area of Whistler, Whiski Jack at Whistler Creek provides activities for every season. Ski season lasts from mid November to May, with an annual snowfall of 450 inches. In summer, vacationers enjoy a host of sports amid the beautiful mountain scenery. In the valley, five lakes offer an abundance of boating and fishing. Hiking, golf, river rafting, and cycling are other warm-weather diversions. Golfers will love the 18 hole Arnold Palmer course in Whistler Village.","Dishwasher, Fireplace, Microwave, Telephone",From Vancouver International: 1. Start out going EAST on GRANT MCCONACHIE WAY. 2. Stay STRAIGHT to go onto ARTHUR LAING BRIDGE. 3. Take the ramp toward GRANVILLE ST/CITY CENTRE. 4. Stay STRAIGHT to go onto SW MARINE DR. 5. SW MARINE DR becomes GRANVILLE ST. 6. Take the HWY-99 N/SEYMOUR ST ramp toward BC FERRIES/HORSESHOE BAY/WHISTLER. 7. Stay STRAIGHT to go onto SEYMOUR ST/PROVINCIAL ROUTE 99 N. 8. Turn LEFT onto W GEORGIA ST/PROVINCIAL ROUTE 1A/PROVINCIAL ROUTE 99. Continue to follow PROVINCIAL ROUTE 1A/PROVINCIAL ROUTE 99. 9. Take the HWY-99/HWY-1A ramp toward WEST VANCOUVER/HORSESHOE BAY-FERRIES/SQUAMISH. 10. Turn SLIGHT RIGHT onto MARINE DR/PROVINCIAL ROUTE 1A W/PROVINCIAL ROUTE 99 N. 11. Turn SLIGHT RIGHT onto TAYLOR WAY/PROVINCIAL ROUTE 1A W/PROVINCIAL ROUTE 99 N. 12. Turn LEFT onto MATHERS AVE. 13. Merge onto PROVINCIAL ROUTE 1 W/TRANS CANADA HWY W. 14. Take the HWY-99 N exit toward SQUAMISH/WHISTLER. 15. Turn SLIGHT RIGHT onto SEA TO SKY HWY N/PROVINCIAL ROUTE 99 N. . 16. Turn RIGHT onto VILLAGE GATE BLVD. 17. Turn LEFT onto NORTHLANDS BLVD. 18. Turn RIGHT onto MAIN ST.,"Late Arrivals : If you expect to arrive late for check in, please ensure you telephone the resort (on the above number) prior to arriving to make arrangements for the key."
British Columbia,Canada,"maps?q=British+Columbia&hl=en&sll=1.352083,103.819836&sspn=0.708416,0.509491&z=4",Whiski Jack at Village Gate House,whiskijackatvillagegatehouse.html,images/c9.jpg,images/c10.jpg,"The Village Gate House is conveniently located in the village. Overlooking the Village Stroll, your luxurious condo is just steps away from restaurants, shops, chairlifts and nightlife. We offer complimentary local, long distance and international telephone calls (to land lines only), and complimentary cable internet connection in all of our units at the Village Gate House. Please note that the private hot tubs in the Village Gate House are out of service until further notice. The prices below have been adjusted to reflect this.",,"Dishwasher, Fireplace, Spa (Some), Telephone","Late Arrivals : If you expect to arrive late for check in, please ensure you telephone the resort (on the above number) prior to arriving to make arrangements for the key."
British Columbia,Canada,"maps?q=British+Columbia&hl=en&sll=1.352083,103.819836&sspn=0.708416,0.509491&z=4",Whiski Jack at the Whistlerview,whiskijackatthewhistlerview.html,images/c11.jpg,images/c12.jpg,"This resort is one of the luxury properties of the Whiski Jack chain. Whiski Jack is located in Whistler, a year-round leisure and meeting destination located 75 miles North of Vancouver, British Columbia, Canada, and is a site of the 2010 Olympic and Paralympic Winter Games. Whislter is nestled in British Columbia's Coast Mountain range that stretches from the spectacular Howe Sound Shoreline up to Whistler. Take the Sea to Ski highway, which follows the Coast Mountains, and is considered one of the world's most scenic drives to get to this beautiful destination. Units ranging from studio to four-bedroom. Units have carpet, dishwasher, kitchen, phone, and a fireplace. On site or nearby there is laundry, lake, medical facilities, beach, live entertainment, ski school, shopping, horseback riding, health club, tennis, restaurants, golf, and more. Enjoy easy access to the slopes of Whistler/Blackcomb and a wealth of cross country trails. In summer, enjoy the many outdoor activities of the area, such as hiking, fishing, rafting, wind surfing, squash, boating, and more. There is never a lack of things to do at Whiski Jack.","Dishwasher, Fireplace, Telephone","Directions from Seattle: From Seattle take I-5 North to Exit 256, Hwy #539 to Lynden border crossing. Follow Hwy #13 to Hwy #1 West towards Vancouver and then to Horseshoe Bay and Hwy #99 to Whistler. From Whistler return the same way on Hwy #1, then take Exit 264 to Hwy #13 and then I-5 to Seattle. You will need IDs and/or a passport to get in and out of Canada. Directions from Vancouver Airport: Exit parking lot. Continue straight. Proceed over Arthur Laing Bridge. Turn right with ""Granville St."" exit. Continue on Granville St. (approx 17km) and onto the Granville St. Bridge. Stay in right lane taking ""Seymour St."" exit. Continue on Seymour St. to Georgia St. Turn left onto Georgia St. Continue on Georgia St. through Stanley Park and over the Lions Gate Bridge. Take the ""West Vancouver"" exit onto Marine Drive. Follow Marine Drive to Taylor Way and turn right. Continue on Taylor Way to Hwy #99 North, exit left. Follow Hwy #99 North to Whistler. Directions in Whistler Village: Turn right at the 5th set of traffic lights off Hwy #99 onto Village Gate Blvd. At the first traffic light, turn left onto Northlands Blvd., then take the first right onto Main St. Our check-in office is located in the second building on the right in the ground floor of the Pinnacle Hotel at 4319 Main St.",
British Columbia,Canada,"maps?q=British+Columbia&hl=en&sll=1.352083,103.819836&sspn=0.708416,0.509491&z=4",Whiski Jack at the Ironwood,whiskijackattheironwood.html,images/c13.jpg,images/c14.jpg,"This resort is one of the luxury properties of the Whiski Jack chain. Whiski Jack is located in Whistler, a year-round leisure and meeting destination located 75 miles North of Vancouver, British Columbia, Canada, and is a site of the 2010 Olympic and Paralympic Winter Games. Whislter is nestled in British Columbia's Coast Mountain range that stretches from the spectacular Howe Sound Shoreline up to Whistler. Take the Sea to Ski highway, which follows the Coast Mountains, and is considered one of the world's most scenic drives to get to this beautiful destination. Units ranging from studio to four-bedroom. Units have carpet, dishwasher, kitchen, phone, and a fireplace. On site or nearby there is laundry, lake, medical facilities, beach, live entertainment, ski school, shopping, horseback riding, health club, tennis, restaurants, golf, and more. Enjoy easy access to the slopes of Whistler/Blackcomb and a wealth of cross country trails. In summer, enjoy the many outdoor activities of the area, such as hiking, fishing, rafting, wind surfing, squash, boating, and more. There is never a lack of things to do at Whiski Jack.","Late Arrivals : If you expect to arrive late for check in, please ensure you telephone the resort (on the above number) prior to arriving to make arrangements for the key.","Dishwasher, Fireplace, Microwave, Telephone, Washer/Dryer",
British Columbia,Canada,"maps?q=British+Columbia&hl=en&sll=1.352083,103.819836&sspn=0.708416,0.509491&z=4",Whiski Jack at the Cascade Lodge,whiskijackatthecascadelodge.html,images/c15.jpg,images/c16.jpg,"Located at the entrance to Whistler Village, the Whistler Cascade Lodge offers the ultimate in views, location and amenities. These Cascade Lodge deluxe fully-furnished one and two bedroom condominiums are just steps away from all of Whistler's shops, restaurants and nightlife. A short walk puts you at the base of Whistler and Blackcomb Mountain gondolas. We offer complimentary local, long distance and international telephone calls (to land lines only), and complimentary cable internet connection in all of our units at the Cascade Lodge.","Late Arrivals : If you expect to arrive late for check in, please ensure you telephone the resort (on the above number) prior to arriving to make arrangements for the key.","Air Conditioning, Dishwasher, Fireplace, Microwave, Telephone, Washer/Dryer",
British Columbia,Canada,"maps?q=British+Columbia&hl=en&sll=1.352083,103.819836&sspn=0.708416,0.509491&z=4",Whiski Jack At The Aspens,whiskijackattheaspens.html,images/c17.jpg,images/c18.jpg,"Whiski Jack At The Aspens is located at the base of Blackcomb Mountain in Whistler, a year-round leisure and meeting destination located 75 miles north of Vancouver, British Columbia, Canada, and is a site of the 2010 Olympic and Paralympic Winter Games. There is 8,171 acres of ski and snowboard terrain, and receives an average of 30 feet of snow per year. Whistler welcomes visitors in all 4 seasons so you can experience skiing and snowboarding, mountain biking and golf, to hiking, rock climbing, and watersports. Also, year round tennis, lakes, beaches, miles of paved hiking and biking trails right from your door, horseback riding, windsurfing, fishing, boating as well as snowmobile and ATV adventure tours await visitors. Whistler Village offers a variety of restaurants, nightclubs and shopping within easy walking distance. Whiski Jack consists of condominiums located in seventeen different properties in Whistler. With units ranging from studio to four-bedroom. Whislter is nestled in British Columbia's Coast Mountain range that stretches from the spectacular Howe Sound Shoreline up to Whistler. The Sea-to-Sky Highway, which follows the Coast Mountains, is considered one of the world's most scenic drives.","Dishwasher, Fireplace, Microwave, Telephone, Air Conditioning (Some)",From Vancouver International Airport : Start going toward the Airport exit on Grant McConachie Way. Grant McConachie Way becomes Arthur Laing Bridge. Take ramp onto SW Marine Dr Continue on Granville St Bear right on Seymour St Turn left to follow BC-99 Take ramp onto Marine Dr Turn right on Taylor Way Turn left onto BC-99 Take ramp onto BC-99 Turn right on Village Gate Blvd Turn left on Northlands Blvd Turn right on Main St,
British Columbia,Canada,"maps?q=British+Columbia&hl=en&sll=1.352083,103.819836&sspn=0.708416,0.509491&z=4",Whiski Jack at Northstar,whiskijackatnorthstar.html,images/c19.jpg,images/c20.jpg,"Whiski Jack at Northstar is located in Whistler, a year-round leisure destination located 75 miles (120km) north of Vancouver. Whether you drive the wonderfully scenic Sea-to-Sky highway or come by floatplane or helicopter, arriving at Whistler is an experience you'll want to remember. With over 8000 acres of ski and snowboard terrain, the area receives an average of 30 feet (9m) of snow per year. Whistler has a wide selection of restaurants, bars, spas, boutiques and galleries. Activities range from world-renowned skiing and snowboarding, mountain biking and golf, to hiking, rock climbing, and watersports","Dishwasher, Fireplace, Washer/Dryer, Microwave, Telephone",– Start going toward the Airport Exit on Grant McConachie Way. – Grant McConachie Way becomes Arthur Laing Bridge. – Take ramp onto SW Marine Dr – Continue on Granville St – Bear Right on Seymour St – Turn left to follow BC-99 – Take ramp onto Marine Dr – Turn Right on Taylor Way – Turn Left onto BC-99 – Take ramp onto BC-99 – Take ramp onto Lorimer Rd – Turn Left on Blackcomb Way – Turn Right on Spearhead Dr – Continue on Painted Cliff Rd – Turn Right on Horstman Lane,
British Columbia,Canada,?q=4417+Sundial+Place++WHISTLER+BC+Canada+V0N+1B4&z=16,Mountainside Lodge,mountainsidelodge.html,images/c21.jpg,images/c22.jpg,"A one minute walk is how far away from Whistler's fabled slopes is how close you will be when you stay at the Mountainside Lodge Whistler! And when you are done skiing, other outdoor adventures await you including a zip line, mountain biking and hiking trails, and whitewater rafting. Then, when you want to relax with a rejuvenating massage or gourmet meal, Whistler Village is just steps away. All rooms at the Mountainside Lodge Whistler come with full kitchens. Rooms also come with jetted hot-tubs and gas fireplaces. All suites also have majestic mountain views and cozy bathrobes.","Late Arrivals : If you expect to arrive late for check in, please ensure you telephone the resort (on the above number) prior to arriving to make arrangements for the key.","Air Conditioning, Cable TV, Coffee Making Facilities, Colour TV, Fireplace, Fridge, Hairdryer, Microwave",
